id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
246,Bajaj Pulsar 150,35000.0,2010,Individual,1st owner,40000,,12,8,3333.333,277.778,Bajaj
247,TVS Centra,10000.0,2005,Individual,1st owner,50000,,17,10,2941.176,245.098,TVS
248,Honda Activa 3G,42000.0,2015,Individual,1st owner,20000,54605.0,7,4,2857.143,238.095,Honda
249,Yamaha FZ16,20000.0,2009,Individual,1st owner,50000,78712.0,13,10,3846.154,320.513,Yamaha
250,Hero Maestro Edge,25000.0,2017,Individual,1st owner,55000,52790.0,5,11,11000.0,916.667,Hero
251,Bajaj Discover 125,25000.0,2016,Individual,1st owner,70350,60122.0,6,15,11725.0,977.083,Bajaj
252,Royal Enfield Thunderbird 350X,145000.0,2019,Individual,1st owner,2700,164004.0,3,1,900.0,75.0,Royal Enfield
253,Hero Super Splendor,50000.0,2016,Individual,1st owner,20000,,6,4,3333.333,277.778,Hero
254,TVS Scooty Pep Plus,30000.0,2011,Individual,1st owner,20000,,11,4,1818.182,151.515,TVS
255,Yamaha FZ V 2.0,60000.0,2014,Individual,1st owner,41311,81508.0,8,9,5163.875,430.323,Yamaha
256,Hero Honda Splendor Plus,15000.0,2005,Individual,1st owner,65000,,17,13,3823.529,318.627,Hero Honda
257,Hero CD Deluxe,15000.0,2014,Individual,2nd owner,34000,,8,7,4250.0,354.167,Hero
258,Hero Honda Passion PRO [2012],25000.0,2011,Individual,1st owner,20000,,11,4,1818.182,151.515,Hero Honda
259,Hero HF Deluxe i3s,54000.0,2019,Individual,1st owner,11000,,3,3,3666.667,305.556,Hero
260,Bajaj Xcd,25000.0,2007,Individual,1st owner,75000,,15,15,5000.0,416.667,Bajaj
261,Royal Enfield Interceptor 650,260000.0,2019,Individual,1st owner,1200,,3,1,400.0,33.333,Royal Enfield
262,Honda CBR-250R,100000.0,2014,Individual,1st owner,19000,199275.0,8,4,2375.0,197.917,Honda
263,Bajaj Kristal,15000.0,2007,Individual,1st owner,30000,,15,6,2000.0,166.667,Bajaj
264,Hero Honda Splendor Plus,20000.0,2006,Individual,1st owner,23000,,16,5,1437.5,119.792,Hero Honda
265,Honda Dream Yuga,35000.0,2014,Individual,1st owner,10000,56147.0,8,2,1250.0,104.167,Honda
266,Yamaha FZ S V 2.0,50000.0,2016,Individual,1st owner,40000,87042.0,6,8,6666.667,555.556,Yamaha
267,Hero Xpulse 200,90000.0,2019,Individual,1st owner,8600,107500.0,3,2,2866.667,238.889,Hero
268,Bajaj V15,40000.0,2016,Individual,1st owner,45000,67187.0,6,9,7500.0,625.0,Bajaj
269,Bajaj Avenger Street 220,80000.0,2016,Individual,1st owner,7200,95955.0,6,2,1200.0,100.0,Bajaj
270,Bajaj Discover 135,20000.0,2010,Individual,1st owner,31195,,12,7,2599.583,216.632,Bajaj
271,Honda CB Unicorn 150,70000.0,2017,Individual,1st owner,18000,74295.0,5,4,3600.0,300.0,Honda
272,Vespa SXL 149,98000.0,2019,Individual,1st owner,1000,,3,1,333.333,27.778,Vespa
273,Royal Enfield Machismo,75000.0,2008,Individual,2nd owner,17000,,14,4,1214.286,101.191,Royal Enfield
274,Honda CB Shine SP,50000.0,2016,Individual,1st owner,46000,67214.0,6,10,7666.667,638.889,Honda
275,Honda CB Unicorn 150,40000.0,2014,Individual,1st owner,77592,74295.0,8,16,9699.0,808.25,Honda
276,Honda CB Unicorn 150,75000.0,2013,Individual,1st owner,54000,74295.0,9,11,6000.0,500.0,Honda
277,Honda CB Unicorn 150,50000.0,2013,Individual,1st owner,17000,74295.0,9,4,1888.889,157.407,Honda
278,Bajaj Pulsar 150,60000.0,2014,Individual,1st owner,60000,,8,12,7500.0,625.0,Bajaj
279,TVS Apache RTR 160,50000.0,2016,Individual,1st owner,40000,,6,8,6666.667,555.556,TVS
280,Honda Dio,35000.0,2014,Individual,1st owner,25000,,8,5,3125.0,260.417,Honda
281,Royal Enfield Thunderbird 350,160000.0,2018,Individual,1st owner,19000,,4,4,4750.0,395.833,Royal Enfield
282,Hero Maestro,25000.0,2015,Individual,2nd owner,40000,49412.0,7,8,5714.286,476.19,Hero
283,Hero Honda CBZ extreme,42000.0,2010,Individual,1st owner,51000,,12,11,4250.0,354.167,Hero Honda
284,Bajaj Dominar 400,200000.0,2019,Individual,1st owner,7600,,3,2,2533.333,211.111,Bajaj
285,Honda Activa 125,40000.0,2014,Individual,1st owner,14965,,8,3,1870.625,155.885,Honda
286,Royal Enfield Classic Desert Storm,130000.0,2015,Individual,2nd owner,25000,181445.0,7,5,3571.429,297.619,Royal Enfield
287,KTM 250 Duke,195000.0,2019,Individual,1st owner,6000,,3,2,2000.0,166.667,KTM
288,KTM RC 390,270000.0,2019,Individual,1st owner,2380,,3,1,793.333,66.111,KTM
289,Kawasaki Ninja 650 [2018-2019],425000.0,2017,Individual,2nd owner,13600,599000.0,5,3,2720.0,226.667,Kawasaki
290,TVS Apache RTR 200 4V,85000.0,2018,Individual,1st owner,10000,,4,2,2500.0,208.333,TVS
291,Kawasaki Ninja 250R,125000.0,2010,Individual,2nd owner,21000,317934.0,12,5,1750.0,145.833,Kawasaki
292,TVS Wego,45000.0,2018,Individual,1st owner,10000,54760.0,4,2,2500.0,208.333,TVS
293,Honda CBR-250R,85000.0,2014,Individual,2nd owner,18600,171646.0,8,4,2325.0,193.75,Honda
294,Bajaj Pulsar NS200,85000.0,2018,Individual,1st owner,7750,,4,2,1937.5,161.458,Bajaj
295,Suzuki GSX S750,760000.0,2019,Individual,1st owner,2800,752020.0,3,1,933.333,77.778,Suzuki
296,Royal Enfield Thunderbird 350,100000.0,2015,Individual,1st owner,30000,,7,6,4285.714,357.143,Royal Enfield
297,Royal Enfield Classic 350,95000.0,2015,Individual,1st owner,9800,,7,2,1400.0,116.667,Royal Enfield
298,Honda CB Shine SP,48000.0,2015,Individual,1st owner,25000,67469.0,7,5,3571.429,297.619,Honda
299,Bajaj Avenger Street 150 [2018],40000.0,2016,Individual,1st owner,29689,80435.0,6,6,4948.167,412.347,Bajaj
300,Honda CBF Stunner,37000.0,2014,Individual,1st owner,43000,58757.0,8,9,5375.0,447.917,Honda
301,Bajaj Avenger [2015],38000.0,2014,Individual,2nd owner,28243,75502.0,8,6,3530.375,294.198,Bajaj
302,Suzuki Gixxer [2014-2018],55000.0,2015,Individual,1st owner,25000,78316.0,7,5,3571.429,297.619,Suzuki
303,Suzuki Access 125,45000.0,2017,Individual,1st owner,22300,,5,5,4460.0,371.667,Suzuki
304,TVS Scooty Streak,18000.0,2009,Individual,2nd owner,33595,44140.0,13,7,2584.231,215.353,TVS
305,Royal Enfield Thunderbird 350X,140000.0,2018,Individual,1st owner,5505,,4,2,1376.25,114.688,Royal Enfield
306,Yamaha Rx,70000.0,2000,Individual,3rd owner,5000,,22,1,227.273,18.939,Yamaha
307,Hero Honda Splendor Plus,15000.0,2007,Individual,1st owner,30000,,15,6,2000.0,166.667,Hero Honda
308,Bajaj Pulsar 125,65000.0,2019,Individual,1st owner,16000,,3,4,5333.333,444.444,Bajaj
309,Honda Activa 5G,42000.0,2018,Individual,1st owner,22000,57557.0,4,5,5500.0,458.333,Honda
310,Yamaha Fazer Dlx,58000.0,2012,Individual,1st owner,40000,,10,8,4000.0,333.333,Yamaha
311,Harley-Davidson Street 750,330000.0,2014,Individual,4th owner,6500,534000.0,8,2,812.5,67.708,Harley-Davidson
312,Hero Xtreme 2014,35000.0,2013,Individual,1st owner,15000,72973.0,9,3,1666.667,138.889,Hero
313,Royal Enfield Classic 350,162000.0,2018,Individual,1st owner,17365,,4,4,4341.25,361.771,Royal Enfield
314,Hero Honda Hunk,28000.0,2009,Individual,1st owner,40000,,13,8,3076.923,256.41,Hero Honda
315,Royal Enfield Interceptor 650,285000.0,2019,Individual,1st owner,5500,,3,2,1833.333,152.778,Royal Enfield
316,Royal Enfield Classic 350,125000.0,2017,Individual,1st owner,33900,,5,7,6780.0,565.0,Royal Enfield
317,Bajaj Pulsar 150 [2001-2011],15000.0,2005,Individual,1st owner,47670,,17,10,2804.118,233.677,Bajaj
318,Honda Activa [2000-2015],29500.0,2013,Individual,1st owner,45000,50267.0,9,9,5000.0,416.667,Honda
319,TVS Apache RR310,200000.0,2019,Individual,1st owner,5000,,3,1,1666.667,138.889,TVS
320,Jawa Standard,160000.0,2019,Individual,1st owner,5700,,3,2,1900.0,158.333,Jawa
321,Hero Honda Splendor PRO,30000.0,2012,Individual,1st owner,22866,,10,5,2286.6,190.55,Hero Honda
322,Yamaha FZ25,110000.0,2019,Individual,1st owner,10000,133680.0,3,2,3333.333,277.778,Yamaha
323,Bajaj Pulsar 220F,70000.0,2016,Individual,1st owner,31000,,6,7,5166.667,430.556,Bajaj
324,Yamaha Fascino 110,69000.0,2019,Individual,1st owner,1600,57112.0,3,1,533.333,44.444,Yamaha
325,Yamaha FZ16,30000.0,2011,Individual,1st owner,44000,78712.0,11,9,4000.0,333.333,Yamaha
326,Yamaha FZ16,30000.0,2010,Individual,1st owner,70000,78712.0,12,14,5833.333,486.111,Yamaha
327,TVS Star City Plus,42000.0,2017,Individual,1st owner,21000,,5,5,4200.0,350.0,TVS
328,Royal Enfield Classic 350,160000.0,2018,Individual,1st owner,17365,,4,4,4341.25,361.771,Royal Enfield
329,Bajaj Pulsar 135 LS,20000.0,2010,Individual,1st owner,80000,64589.0,12,16,6666.667,555.556,Bajaj
330,Suzuki Access 125,45000.0,2017,Individual,1st owner,15000,,5,3,3000.0,250.0,Suzuki
331,Bajaj Pulsar 135 LS,23000.0,2010,Individual,1st owner,77000,64589.0,12,16,6416.667,534.722,Bajaj
332,UM Renegade Commando,140000.0,2017,Individual,2nd owner,40000,180525.0,5,8,8000.0,666.667,UM
333,Hero Honda Splendor Plus,12000.0,2005,Individual,1st owner,48000,,17,10,2823.529,235.294,Hero Honda
334,Hero Passion PRO i3s,50000.0,2017,Individual,1st owner,18000,56925.0,5,4,3600.0,300.0,Hero
335,Royal Enfield Classic 350,140000.0,2018,Individual,1st owner,20000,,4,4,5000.0,416.667,Royal Enfield
336,Honda Activa 5G,55000.0,2019,Individual,1st owner,9000,59422.0,3,2,3000.0,250.0,Honda
337,Yamaha Fascino 110,45000.0,2016,Individual,1st owner,56000,54500.0,6,12,9333.333,777.778,Yamaha
338,Hero Splendor Plus,25000.0,2012,Individual,1st owner,50000,,10,10,5000.0,416.667,Hero
339,Royal Enfield Thunderbird 350,90000.0,2014,Individual,1st owner,12000,,8,3,1500.0,125.0,Royal Enfield
340,Yamaha YZF R15 V3,120000.0,2018,Individual,1st owner,11500,,4,3,2875.0,239.583,Yamaha
341,KTM RC 200,120000.0,2015,Individual,1st owner,20000,,7,4,2857.143,238.095,KTM
342,TVS Radeon,35000.0,2017,Individual,1st owner,20000,66492.0,5,4,4000.0,333.333,TVS
343,Hero HF Deluxe,35000.0,2017,Individual,1st owner,27000,,5,6,5400.0,450.0,Hero
344,BMW G310GS,300000.0,2018,Individual,1st owner,2500,349000.0,4,1,625.0,52.083,BMW
345,Royal Enfield Thunderbird 350,87000.0,2012,Individual,1st owner,20477,,10,5,2047.7,170.642,Royal Enfield
346,Hero Honda Splendor Plus,18000.0,2010,Individual,1st owner,35700,,12,8,2975.0,247.917,Hero Honda
347,Yamaha FZ S V 2.0,50000.0,2014,Individual,1st owner,70000,84042.0,8,14,8750.0,729.167,Yamaha
348,Bajaj Avenger Street 220,60000.0,2016,Individual,1st owner,29000,95955.0,6,6,4833.333,402.778,Bajaj
349,Hero Honda Splendor Plus,15000.0,2004,Individual,1st owner,14500,,18,3,805.556,67.13,Hero Honda
350,Bajaj Platina 100,30000.0,2018,Individual,1st owner,37000,,4,8,9250.0,770.833,Bajaj
351,Royal Enfield Thunderbird 350X,160000.0,2018,Individual,1st owner,3246,,4,1,811.5,67.625,Royal Enfield
352,Honda CB Unicorn 150,50000.0,2016,Individual,1st owner,27000,74295.0,6,6,4500.0,375.0,Honda
353,Suzuki Gixxer [2014-2018],62000.0,2017,Individual,1st owner,15000,78316.0,5,3,3000.0,250.0,Suzuki
354,Bajaj Platina 100,45000.0,2019,Individual,1st owner,15000,,3,3,5000.0,416.667,Bajaj
355,Royal Enfield Thunderbird 350,120000.0,2017,Individual,1st owner,4050,,5,1,810.0,67.5,Royal Enfield
356,Royal Enfield Thunderbird 500,125000.0,2014,Individual,1st owner,25000,190874.0,8,5,3125.0,260.417,Royal Enfield
357,Bajaj Pulsar AS150,50000.0,2015,Individual,1st owner,5000,80821.0,7,1,714.286,59.524,Bajaj
358,Bajaj Pulsar 150,30000.0,2012,Individual,2nd owner,5000,,10,1,500.0,41.667,Bajaj
359,Hero Pleasure,40000.0,2014,Individual,1st owner,14000,51600.0,8,3,1750.0,145.833,Hero
360,Honda Aviator,41000.0,2013,Individual,1st owner,36500,63537.0,9,8,4055.556,337.963,Honda
361,Royal Enfield Thunderbird 350,120000.0,2017,Individual,2nd owner,9000,,5,2,1800.0,150.0,Royal Enfield
362,Hero Ignitor,35000.0,2014,Individual,1st owner,33200,67722.0,8,7,4150.0,345.833,Hero
363,Hero Honda CD100SS,10000.0,1997,Individual,1st owner,646000,,25,130,25840.0,2153.333,Hero Honda
364,TVS Apache RTR 160,35000.0,2011,Individual,1st owner,25000,,11,5,2272.727,189.394,TVS
365,Hero Achiever 150,38000.0,2017,Individual,1st owner,26000,69750.0,5,6,5200.0,433.333,Hero
366,Vespa LX 125,50000.0,2015,Individual,1st owner,3909,77900.0,7,1,558.429,46.536,Vespa
367,Honda Activa 3G,40000.0,2015,Individual,1st owner,7672,54605.0,7,2,1096.0,91.333,Honda
368,Hero Splendor Plus i3s,70000.0,2019,Individual,1st owner,3000,55600.0,3,1,1000.0,83.333,Hero
369,Royal Enfield Classic 350,140000.0,2016,Individual,1st owner,3654,,6,1,609.0,50.75,Royal Enfield
370,Hero Maestro,26500.0,2016,Individual,2nd owner,40000,53830.0,6,8,6666.667,555.556,Hero
371,Hero Glamour 125,38000.0,2016,Dealer,1st owner,5500,61600.0,6,2,916.667,76.389,Hero
372,Yamaha FZ16,60000.0,2016,Individual,1st owner,29950,78712.0,6,6,4991.667,415.972,Yamaha
373,Royal Enfield Himalayan,145000.0,2017,Individual,1st owner,14000,,5,3,2800.0,233.333,Royal Enfield
374,Yamaha FZ S V 2.0,78000.0,2017,Individual,1st owner,26100,84480.0,5,6,5220.0,435.0,Yamaha
375,Hero Maestro Edge,58000.0,2018,Individual,1st owner,6000,54580.0,4,2,1500.0,125.0,Hero
376,Yamaha FZ25,130000.0,2017,Individual,1st owner,4000,132680.0,5,1,800.0,66.667,Yamaha
377,TVS Victor,20000.0,2001,Individual,1st owner,50000,54852.0,21,10,2380.952,198.413,TVS
378,Bajaj Dominar 400 [2018],150000.0,2018,Individual,1st owner,5475,163331.0,4,2,1368.75,114.062,Bajaj
379,Bajaj Pulsar 180,32000.0,2012,Individual,1st owner,40000,85011.0,10,8,4000.0,333.333,Bajaj
380,Bajaj Pulsar 180,50000.0,2017,Individual,1st owner,20500,85011.0,5,5,4100.0,341.667,Bajaj
381,KTM 200 Duke,120000.0,2017,Individual,1st owner,4100,,5,1,820.0,68.333,KTM
382,Bajaj Avenger Street 150 [2018],60000.0,2016,Individual,2nd owner,23097,80435.0,6,5,3849.5,320.792,Bajaj
383,Bajaj Discover 100 M,20000.0,2011,Individual,1st owner,37734,44756.0,11,8,3430.364,285.864,Bajaj
384,Royal Enfield Bullet 350 [2007-2011],65000.0,2011,Individual,2nd owner,65000,,11,13,5909.091,492.424,Royal Enfield
385,Yamaha YZF R15 S,70000.0,2016,Individual,1st owner,8000,117926.0,6,2,1333.333,111.111,Yamaha
386,Yamaha FZ V 2.0,35000.0,2014,Individual,1st owner,13500,81508.0,8,3,1687.5,140.625,Yamaha
387,Bajaj Avenger Street 220,95000.0,2018,Individual,1st owner,23000,95955.0,4,5,5750.0,479.167,Bajaj
388,Bajaj Pulsar 150,8000.0,2005,Individual,1st owner,58000,,17,12,3411.765,284.314,Bajaj
389,Royal Enfield Thunderbird 350,85000.0,2010,Individual,1st owner,15000,,12,3,1250.0,104.167,Royal Enfield
390,Hero Achiever 150,65000.0,2016,Individual,1st owner,29000,69750.0,6,6,4833.333,402.778,Hero
391,Hero Passion Pro 110,39000.0,2013,Individual,1st owner,20000,,9,4,2222.222,185.185,Hero
392,Hero Duet,45000.0,2017,Individual,1st owner,35000,50280.0,5,7,7000.0,583.333,Hero
393,Bajaj Avenger Street 150 [2018],60000.0,2016,Individual,1st owner,45137,80435.0,6,10,7522.833,626.903,Bajaj
394,Royal Enfield Classic Stealth Black,160000.0,2018,Individual,1st owner,7500,204977.0,4,2,1875.0,156.25,Royal Enfield
395,Bajaj Pulsar 150,35000.0,2011,Individual,1st owner,35600,,11,8,3236.364,269.697,Bajaj
396,Bajaj Pulsar 135 LS,40000.0,2018,Individual,1st owner,15000,64589.0,4,3,3750.0,312.5,Bajaj
397,Yamaha Fazer [2009-2016],40000.0,2012,Individual,1st owner,7353,84751.0,10,2,735.3,61.275,Yamaha
398,Honda CB Hornet 160R,56000.0,2017,Individual,2nd owner,13200,87543.0,5,3,2640.0,220.0,Honda
399,Honda CB Unicorn Dazzler,22000.0,2011,Individual,1st owner,38350,71757.0,11,8,3486.364,290.53,Honda
400,Yamaha YBR 125,36000.0,2014,Individual,1st owner,20400,54593.0,8,5,2550.0,212.5,Yamaha
401,Suzuki Intruder 150 Fi,100000.0,2018,Individual,1st owner,14500,110240.0,4,3,3625.0,302.083,Suzuki
402,Bajaj V15,42000.0,2016,Individual,1st owner,19500,67187.0,6,4,3250.0,270.833,Bajaj
403,Royal Enfield Electra 5 S,85000.0,2008,Individual,1st owner,20000,,14,4,1428.571,119.048,Royal Enfield
404,Hero Passion PRO TR,45000.0,2014,Individual,1st owner,36000,54586.0,8,8,4500.0,375.0,Hero
405,Yamaha FZ25,145000.0,2019,Individual,1st owner,4500,133680.0,3,1,1500.0,125.0,Yamaha
406,Hero Karizma [2003-2014],50000.0,2013,Individual,1st owner,38000,85766.0,9,8,4222.222,351.852,Hero
407,Royal Enfield Interceptor 650,270000.0,2019,Individual,1st owner,9000,,3,2,3000.0,250.0,Royal Enfield
408,Royal Enfield Thunderbird 350,60000.0,2006,Individual,1st owner,40000,,16,8,2500.0,208.333,Royal Enfield
409,Royal Enfield Classic Squadron Blue,140000.0,2017,Individual,1st owner,25000,181445.0,5,5,5000.0,416.667,Royal Enfield
410,Hero Honda Splendor Plus,28000.0,2008,Individual,1st owner,70889,,14,15,5063.5,421.958,Hero Honda
411,KTM 390 Duke ABS [2013-2016],180000.0,2015,Individual,2nd owner,13125,202127.0,7,3,1875.0,156.25,KTM
412,Bajaj Pulsar 180,42000.0,2014,Individual,2nd owner,19600,85011.0,8,4,2450.0,204.167,Bajaj
413,Suzuki Access 125 [2007-2016],16000.0,2011,Individual,1st owner,40000,58314.0,11,8,3636.364,303.03,Suzuki
414,Hero Splendor iSmart,40000.0,2015,Individual,1st owner,19055,52271.0,7,4,2722.143,226.845,Hero
415,Bajaj Pulsar 180,38000.0,2012,Individual,2nd owner,57000,85011.0,10,12,5700.0,475.0,Bajaj
416,Yamaha YZF R15 S,85000.0,2017,Individual,1st owner,13000,117926.0,5,3,2600.0,216.667,Yamaha
417,Honda Aviator,28000.0,2013,Individual,1st owner,28087,63537.0,9,6,3120.778,260.065,Honda
418,KTM 200 Duke,135000.0,2018,Individual,1st owner,24000,,4,5,6000.0,500.0,KTM
419,Royal Enfield Thunderbird 350,120000.0,2016,Individual,1st owner,24600,,6,5,4100.0,341.667,Royal Enfield
420,Hero Karizma ZMR,37000.0,2010,Individual,1st owner,27500,108000.0,12,6,2291.667,190.972,Hero
421,Royal Enfield Classic Chrome,135000.0,2015,Individual,1st owner,45000,189313.0,7,9,6428.571,535.714,Royal Enfield
422,Hero Honda Splendor,10000.0,2000,Individual,1st owner,61000,,22,13,2772.727,231.061,Hero Honda
423,Mahindra Rodeo,20000.0,2013,Individual,1st owner,7000,47343.0,9,2,777.778,64.815,Mahindra
424,TVS Apache RTR 160,83299.0,2019,Individual,1st owner,6400,,3,2,2133.333,177.778,TVS
425,Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2018,Individual,1st owner,3500,89643.0,4,1,875.0,72.917,Yamaha
426,Honda Activa 5G,50000.0,2018,Individual,1st owner,14000,59422.0,4,3,3500.0,291.667,Honda
427,Bajaj Pulsar 220 Fi,65000.0,2013,Individual,1st owner,6409,,9,2,712.111,59.343,Bajaj
428,Hero Honda Karizma ZMR [2010],45000.0,2012,Individual,3rd owner,44000,,10,9,4400.0,366.667,Hero Honda
429,Honda CB Hornet 160R,60000.0,2017,Individual,1st owner,16500,92210.0,5,4,3300.0,275.0,Honda
430,Royal Enfield Bullet 350,110000.0,2015,Individual,1st owner,36000,,7,8,5142.857,428.571,Royal Enfield
431,Hero Honda CD Deluxe,14700.0,2005,Individual,2nd owner,30000,,17,6,1764.706,147.059,Hero Honda
432,Yamaha Saluto,38000.0,2015,Individual,1st owner,15000,63180.0,7,3,2142.857,178.571,Yamaha
433,Suzuki Access 125,70000.0,2018,Individual,1st owner,14500,,4,3,3625.0,302.083,Suzuki
434,TVS Sport,35000.0,2018,Individual,1st owner,26600,,4,6,6650.0,554.167,TVS
435,Hero Honda Glamour,19000.0,2012,Individual,1st owner,32000,,10,7,3200.0,266.667,Hero Honda
436,KTM 125 Duke,130000.0,2019,Individual,1st owner,3500,,3,1,1166.667,97.222,KTM
437,Bajaj Pulsar NS200,50000.0,2013,Dealer,1st owner,58203,,9,12,6467.0,538.917,Bajaj
438,Bajaj Pulsar 150 [2001-2011],18000.0,2005,Individual,1st owner,21885,,17,5,1287.353,107.279,Bajaj
439,Hero Xtreme 200R,87000.0,2019,Individual,1st owner,3200,93400.0,3,1,1066.667,88.889,Hero
440,Hero Honda Splendor Plus,40000.0,2007,Individual,1st owner,40000,,15,8,2666.667,222.222,Hero Honda
441,Bajaj Discover 150S,35000.0,2015,Individual,1st owner,28000,63331.0,7,6,4000.0,333.333,Bajaj
442,Honda CBR-250R,100000.0,2011,Individual,2nd owner,3500,171646.0,11,1,318.182,26.515,Honda
443,Hero Pleasure,30000.0,2013,Individual,1st owner,24000,51600.0,9,5,2666.667,222.222,Hero
444,Bajaj Avenger Cruise 220,95000.0,2018,Individual,1st owner,1800,,4,1,450.0,37.5,Bajaj
445,Bajaj Discover 125 ST,25000.0,2012,Individual,1st owner,76000,58438.0,10,16,7600.0,633.333,Bajaj
446,Bajaj Pulsar 150 [2001-2011],26500.0,2010,Individual,1st owner,52500,,12,11,4375.0,364.583,Bajaj
447,Bajaj Boxer,12000.0,2008,Individual,1st owner,17500,,14,4,1250.0,104.167,Bajaj
448,Bajaj Pulsar 150,20000.0,2006,Individual,1st owner,41000,,16,9,2562.5,213.542,Bajaj
449,Royal Enfield Classic Signals,195000.0,2018,Individual,1st owner,2845,164095.0,4,1,711.25,59.271,Royal Enfield
450,Bajaj Pulsar 180,14900.0,2007,Individual,1st owner,50000,85011.0,15,10,3333.333,277.778,Bajaj
451,Honda Dream Yuga,48000.0,2018,Individual,1st owner,7110,56147.0,4,2,1777.5,148.125,Honda
452,Yamaha FZ S [2012-2016],40000.0,2014,Individual,1st owner,27785,79432.0,8,6,3473.125,289.427,Yamaha
453,Honda CB Unicorn,45000.0,2010,Individual,1st owner,75000,71681.0,12,15,6250.0,520.833,Honda
454,Honda Shine,25000.0,2010,Individual,1st owner,20000,,12,4,1666.667,138.889,Honda
455,Honda Activa 3G,25000.0,2011,Individual,1st owner,20000,54605.0,11,4,1818.182,151.515,Honda
456,Honda Activa [2000-2015],10000.0,2009,Individual,1st owner,60000,50267.0,13,12,4615.385,384.615,Honda
457,Mahindra Flyte,22000.0,2009,Individual,3rd owner,20000,44493.0,13,4,1538.462,128.205,Mahindra
458,Honda Activa 3G,45000.0,2015,Individual,1st owner,18000,54605.0,7,4,2571.429,214.286,Honda
459,KTM 250 Duke,135000.0,2017,Individual,1st owner,16500,,5,4,3300.0,275.0,KTM
460,Yamaha Ray Z,75000.0,2017,Individual,1st owner,15000,52949.0,5,3,3000.0,250.0,Yamaha
461,Bajaj Pulsar 135 LS,24000.0,2010,Individual,1st owner,45000,64589.0,12,9,3750.0,312.5,Bajaj
462,Yamaha FZ16,45000.0,2016,Individual,1st owner,37000,78712.0,6,8,6166.667,513.889,Yamaha
463,Hero Passion PRO i3s,55000.0,2017,Individual,1st owner,14600,54475.0,5,3,2920.0,243.333,Hero
464,Bajaj Discover 125,10000.0,2006,Individual,1st owner,51000,57549.0,16,11,3187.5,265.625,Bajaj
465,Royal Enfield Classic 350,135000.0,2017,Individual,1st owner,15000,,5,3,3000.0,250.0,Royal Enfield
466,Honda CB Unicorn 150,55000.0,2017,Individual,1st owner,12000,74295.0,5,3,2400.0,200.0,Honda
467,Bajaj Avenger [2015],35000.0,2012,Individual,1st owner,15000,75502.0,10,3,1500.0,125.0,Bajaj
468,Bajaj Super,20000.0,1988,Individual,1st owner,21000,,34,5,617.647,51.471,Bajaj
469,Bajaj Pulsar 150,26000.0,2012,Individual,2nd owner,65000,,10,13,6500.0,541.667,Bajaj
470,Honda Activa [2000-2015],23000.0,2009,Individual,1st owner,95000,50267.0,13,19,7307.692,608.974,Honda
471,Royal Enfield Classic Desert Storm,150000.0,2015,Individual,1st owner,23000,181445.0,7,5,3285.714,273.81,Royal Enfield
472,Hero Honda CD Deluxe,24700.0,2012,Individual,2nd owner,40000,,10,8,4000.0,333.333,Hero Honda
473,Hero Duet,35000.0,2016,Individual,2nd owner,49637,54080.0,6,10,8272.833,689.403,Hero
474,Hero Honda Passion PRO [2012],12000.0,2012,Individual,1st owner,90000,,10,18,9000.0,750.0,Hero Honda
475,Royal Enfield Classic 350,150000.0,2017,Individual,1st owner,7000,,5,2,1400.0,116.667,Royal Enfield
476,Honda Activa 3G,50000.0,2016,Individual,1st owner,5326,54605.0,6,2,887.667,73.972,Honda
477,Honda Activa [2000-2015],25000.0,2009,Individual,1st owner,585659,50267.0,13,118,45050.692,3754.224,Honda
478,Hero Honda CD100,15000.0,1999,Dealer,2nd owner,10000,,23,2,434.783,36.232,Hero Honda
479,Hero Super Splendor,35000.0,2014,Individual,2nd owner,37541,,8,8,4692.625,391.052,Hero
480,Honda CB Trigger,45000.0,2015,Individual,1st owner,36000,83437.0,7,8,5142.857,428.571,Honda
481,Honda Dream Yuga,25000.0,2013,Individual,1st owner,29000,56147.0,9,6,3222.222,268.519,Honda
482,Hero Honda Passion Plus,40000.0,2018,Individual,1st owner,29000,,4,6,7250.0,604.167,Hero Honda
483,TVS Spectra,17000.0,2008,Individual,1st owner,50000,,14,10,3571.429,297.619,TVS
484,Hero Ignitor,30000.0,2016,Individual,1st owner,18000,67722.0,6,4,3000.0,250.0,Hero
485,Hero Honda CD100,15000.0,2000,Individual,1st owner,50000,,22,10,2272.727,189.394,Hero Honda
486,Bajaj Pulsar 220F,60000.0,2017,Individual,2nd owner,40000,,5,8,8000.0,666.667,Bajaj
487,Hero Splendor Plus,30000.0,2013,Individual,1st owner,20000,,9,4,2222.222,185.185,Hero
488,Yamaha YZF R15 [2011-2018],60000.0,2012,Individual,1st owner,22000,118997.0,10,5,2200.0,183.333,Yamaha
489,Honda Activa 3G,32000.0,2015,Individual,1st owner,4500,54605.0,7,1,642.857,53.571,Honda
490,Bajaj Discover 150,30000.0,2012,Individual,1st owner,50000,54299.0,10,10,5000.0,416.667,Bajaj
491,Bajaj Pulsar 150 [2001-2011],55000.0,2010,Individual,1st owner,42000,,12,9,3500.0,291.667,Bajaj
492,Bajaj Avenger Street 150 [2018],75000.0,2016,Individual,1st owner,35000,80435.0,6,7,5833.333,486.111,Bajaj
